code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002141,蓉胜超微,元器件,广东,3785.71,18188.8,32418.75,56150.78,34622.55,19073.1,6128.31,0.19,0.002,1.7,19.82,20070720
300444,双杰电气,电气设备,北京,231.63,9725.29,28339.11,118898.47,100673.72,15134.63,30764.33,1.09,0.033,2.92,10.62,20150423
603999,读者传媒,出版业,甘肃,207.97,7200.0,28800.0,192059.2,151884.3,29204.94,61648.38,2.14,0.041,5.56,6.14,20151210
601872,招商轮船,水运,上海,16.19,472092.19,529945.81,3188882.5,509610.0,2169954.0,734466.44,1.39,0.079,2.65,1.94,20061201
300235,方直科技,软件服务,深圳,120.1,9147.61,15840.0,38181.46,22462.71,2006.43,6258.08,0.4,0.057,2.22,12.25,20110629
600435,北方导航,专用机械,北京,694.3,148932.0,148932.0,425917.5,255269.55,100578.9,81486.97,0.55,0.006,1.39,11.51,20030704
603998,方盛制药,中成药,湖南,107.95,26917.72,42519.67,106088.71,67914.75,24714.32,39710.55,0.93,0.037,2.12,7.56,20141205
000811,烟台冰轮,工程机械,山东,335.02,39458.87,43536.94,429915.09,197470.13,58181.45,26832.9,0.62,0.009,4.47,2.77,19980528
603339,四方冷链,专用机械,江苏,112.23,5170.0,20680.0,87580.05,69508.77,10650.21,6930.27,0.34,0.136,4.8,12.73,20160519
600678,四川金顶,水泥,四川,0.0,34899.0,34899.0,35642.65,3566.43,18491.53,30535.36,0.87,-0.025,0.06,238.44,19931008
300014,亿纬锂能,元器件,广东,135.16,40959.76,42721.83,269301.5,122484.45,43749.05,65298.16,1.53,0.088,4.09,11.65,20091030
600328,兰太实业,化工原料,内蒙,196.35,35911.8,43803.1,673481.69,154050.88,389798.41,100333.4,2.29,0.018,4.39,3.17,20001222
300202,聚龙股份,专用机械,辽宁,336.42,42022.08,54950.39,182109.31,131341.92,27361.74,9757.1,0.18,0.019,2.9,8.89,20110415
600889,南京化纤,化纤,江苏,146.5,30706.92,30706.92,209249.67,60070.18,125122.9,22740.7,0.74,0.022,4.57,2.79,19960308
002596,海南瑞泽,其他建材,海南,0.0,18646.69,32436.14,294544.44,178439.3,45887.01,128292.82,3.96,-0.072,6.29,4.92,20110707
000737,南风化工,日用化工,山西,0.0,54874.35,54876.0,314224.28,173841.95,96986.25,62494.98,1.14,-0.064,0.22,26.93,19970428
300160,秀强股份,玻璃,江苏,56.04,58918.1,59776.0,168423.52,82888.46,48491.7,64117.42,1.07,0.061,1.95,7.0,20110113
600116,三峡水利,水力发电,重庆,45.1,88800.54,99300.54,448561.81,128925.47,232555.3,140390.0,1.41,0.047,2.31,3.68,19970804
300432,富临精工,汽车配件,四川,75.09,14471.51,36000.0,131270.92,92094.75,29441.71,11843.07,0.33,0.147,2.45,17.99,20150319
000981,银亿股份,区域地产,甘肃,137.92,257431.56,257701.56,2437664.75,2086567.25,120781.02,58739.57,0.23,0.019,2.02,5.23,20000622
002694,顾地科技,塑料,湖北,0.0,30312.38,34560.0,210055.8,108760.67,72984.0,34785.64,1.01,-0.035,2.69,7.03,20120816
